Descricao_Acao;Descricao_Elemento;Descricao_item_Despesa;Orcamento_Atualizado;Empenhado;Liquidado;Pago;Pago_Restos_Pagar
CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;140000.91;0;0;0;0
CONCESSIONARIAS DE SERVICOS PUBLICOS DE ENERGIA ELETRICA - ADM. DIRETA - SAUDE PREVENTIVA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;1163430.22;0;0;0;0
MERENDA ESCOLAR;MATERIAL DE CONSUMO                                                                       ;GENEROS ALIMENTICIOS. INCLUSIVE BEBIDAS - MERENDA                                         ;0;215019.7;215019.7;157825.88;157825.88
MANUTENCAO E REVITALIZACAO DAS UNIDADES ESCOLARES DA REDE DE ENSINO;LOCACAO DE MAO-DE-OBRA                                                                    ;LOCACAO DE MAO-DE-OBRA                                                                    ;0;0;0;0;0
MANUTENCAO E REVITALIZACAO DAS UNIDADES ESCOLARES DA REDE DE ENSINO;LOCACAO DE MAO-DE-OBRA                                                                    ;LOCACAO DE MAO-DE-OBRA                                                                    ;1023077;0;0;0;0
DESCENTRALIZACAO DA GESTAO PARTICIPATIVA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;593436;0;0;0;0
CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - CAPITAL HUMANO NA FORMACAO DO CARIOCA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;0;0;0;0;0
CONCESSIONARIAS DE SERVICOS PUBLICOS DE ENERGIA ELETRICA - ADM. DIRETA - CAPITAL HUMANO NA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;3608;0;0;0;0
CONCESSIONARIAS DE SERVICOS PUBLICOS DE ENERGIA ELETRICA - ADM. DIRETA - CAPITAL HUMANO NA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;189841;0;0;0;0
MANUTENCAO E REVITALIZACAO DA EDUCACAO INFANTIL;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;910644;0;0;0;0
MODERNIZACAO TECNOLOGICA E DE INFRAESTRUTURA DA MULTIRIO;EQUIPAMENTOS E MATERIAL PERMANENTE                                                        ;EQUIPAMENTOS E MATERIAL PERMANENTE                                                        ;0;0;0;0;0
APOIO ADMINISTRATIVO - ADM. INDIRETA - CAPITAL HUMANO NA FORMACAO DO CARIOCA;OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA                                              ;SERVICOS PRESTADOS POR ESTUDANTES                                                         ;0;24054.92;9132.8;0;0
APOIO ADMINISTRATIVO - ADM. INDIRETA - CAPITAL HUMANO NA FORMACAO DO CARIOCA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;FORNECIMENTO DE ALIMENTACAO                                                               ;0;6222;2825.65;1222;1222
APOIO ADMINISTRATIVO - ADM. INDIRETA - CAPITAL HUMANO NA FORMACAO DO CARIOCA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;DESPESAS DECORRENTES DE  DEFESA DO MUNICIPIO                                              ;0;61974.14;35273.14;35273.14;35273.14
APOIO ADMINISTRATIVO - ADM. INDIRETA - CAPITAL HUMANO NA FORMACAO DO CARIOCA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS BANCARIOS                                                                        ;0;500;170.19;162.99;162.99
APOIO ADMINISTRATIVO - ADM. INDIRETA - CAPITAL HUMANO NA FORMACAO DO CARIOCA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE MEDICINA E SEGURANCA DO TRABALHO                                              ;0;2094;754;650;1008.83
DESPESAS OBRIGATORIAS E OUTROS CUSTEIOS - ADM. INDIRETA - CAPITAL HUMANO NA FORMACAO DO CA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;VALE REFEICAO VALE ALIMENTACAO E FORNECIMENTO DE CAFE DA MANHA                            ;0;376539.2;286315.11;286315.11;286315.11
CONCESSIONARIAS DE SERVICOS PUBLICOS DE ENERGIA ELETRICA - ADM. INDIRETA - CAPITAL HUMANO;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;263160.44;0;0;0;0
PROVISAO DE GASTOS COM PESSOAL - ADM. INDIRETA - CAPITAL HUMANO NA FORMACAO DO CARIOCA;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;GRATIFICACAO DE PARTICIPACAO EM ORGAO DE DELIBERACAO COLETIVA                             ;0;15039.77;15039.77;4287.64;7288.99
PROVISAO DE GASTOS COM PESSOAL - ADM. INDIRETA - CAPITAL HUMANO NA FORMACAO DO CARIOCA;INDENIZACOES E RESTITUICOES TRABALHISTAS                                                  ;INDENIZACOES E RESTITUICOES TRABALHISTAS                                                  ;0;270000;146634.01;115339.74;136102.04
MANUTENCAO E DESENVOLVIMENTO DA INFORMATICA - ADM. INDIRETA - CAPITAL HUMANO NA FORMACAO D;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;MAQUINAS E EQUIPAMENTOS DE INFORMATICA E TELECOMUNICACOES - LOCACAO                       ;0;51155.41;32919.63;29698.32;36135.57
SENTENCAS JUDICIAIS E PRECATORIOS;SENTENCAS JUDICIAIS                                                                       ;SENTENCAS JUDICIAIS DE ACOES TRABALHISTAS - CELETISTAS                                    ;0;500000;106875.37;54010.03;61379.77
APOIO ADMINISTRATIVO - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;DIARIAS - CIVIL                                                                           ;DIARIAS - CIVIL                                                                           ;43000;0;0;0;0
MANUTENCAO E DESENVOLVIMENTO DA INFORMATICA - ADM. DIRETA - SAUDE PREVENTIVA E EMERGENCIA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;MAQUINAS E EQUIPAMENTOS DE INFORMATICA E TELECOMUNICACOES - LOCACAO                       ;0;402490.74;238671.15;238671.15;521043.42
MANUTENCAO E DESENVOLVIMENTO DA INFORMATICA - ADM. DIRETA - SAUDE PREVENTIVA E EMERGENCIA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;DESPESAS DE TELEPROCESSAMENTO                                                             ;0;1055801.5;880529.47;793340.43;1057263.64
MONITORAMENTO. AVALIACAO E VIGILANCIA SOCIOASSISTENCIAL;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;DESPESAS MIUDAS DE PRONTO PAGAMENTO E/OU DE CARATER EXTRAORDINARIO OU URGENTE             ;0;16036.9;16036.9;16036.9;16036.9
PROVISAO DE GASTOS COM PESSOAL - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;VENCIMENTOS DE CARGO EFETIVO                                                              ;0;22273293.03;22273293.03;20093300.34;22222135.24
PROVISAO DE GASTOS COM PESSOAL - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;ADICIONAL POR TEMPO DE SERVICO                                                            ;0;7572486.59;7572486.59;6824651.16;7533013.24
PROVISAO DE GASTOS COM PESSOAL - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;GRATIFICACAO DE DUPLA REGENCIA                                                            ;0;728.71;728.71;728.71;728.71
PROVISAO DE GASTOS COM PESSOAL - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;AUXILIO-TRANSPORTE                                                                        ;AUXILIO-TRANSPORTE                                                                        ;373000;0;0;0;0
DESPESAS OBRIGATORIAS E OUTROS CUSTEIOS DA ADMINISTRACAO DIRETA - SAUDE PREVENTIVA E EMERG;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;14200000;0;0;0;0
GASTOS COM PESSOAL - OBRIGACOES PATRONAIS E OUTROS BENEFICIOS - SAUDE PREVENTIVA E EMERGEN;CONTRIBUICOES  PATRONAIS                                                                  ;CONTRIBUICAO PATRONAL FUNPREVI - SUPLEMENTAR                                              ;0;0;0;0;4421844.46
GASTOS COM PESSOAL - OBRIGACOES PATRONAIS E OUTROS BENEFICIOS - SAUDE PREVENTIVA E EMERGEN;OBRIGACOES PATRONAIS                                                                      ;INSTITUTO NACIONAL DE SEGURIDADE SOCIAL                                                   ;0;14853098.25;12246460.63;10967192.66;10967192.66
GASTOS COM PESSOAL - OBRIGACOES PATRONAIS E OUTROS BENEFICIOS - SAUDE PREVENTIVA E EMERGEN;DESPESAS DE EXERCICIOS ANTERIORES                                                         ;DESPESAS COM PESSOAL ATIVO                                                                ;0;12422384.05;12422384.05;12335173.4;12373691.47
ACOES DE ATENCAO PSICOSSOCIAL;OUTRAS DESPESAS DE PESSOAL DECORRENTES DE CONTRATOS DE TERCEIRIZACAO                      ;OUTRAS DESPESAS DE PESSOAL DECORRENTES DE CONTRATOS DE TERCEIRIZACAO                      ;805687.03;0;0;0;0
ACOES DE DESINSTITUCIONALIZACAO EM SAUDE MENTAL;OUTROS AUXILIOS FINANCEIROS A PESSOAS FISICAS                                             ;APOIO FINANCEIRO A POPULACAO                                                              ;0;6000000;5153871.6;4660485.35;4660485.35
ATENCAO A SAUDE ATRAVES DAS LINHAS DE CUIDADOS PARA DOENCAS E AGRAVOS TRANSMISSIVEIS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERV. DE GER.. OPER.. E EXEC. DE ATIV. DIRIGIDAS A SAUDE. PREST. POR ORG. SOC. - REC. HUM.;0;1735632.44;901115.04;901115.04;901115.04
VIGILANCIA EM SAUDE. PREVENCAO E CONTROLE DE DOENCAS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE GER.. OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A SAUDE. PRESTADOS POR OS       ;0;0;0;0;1003951.2
VIGILANCIA EM SAUDE. PREVENCAO E CONTROLE DE DOENCAS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS GRAFICOS EM GERAL POR PESSOA JURIDICA                                            ;0;329999.98;56627.35;56627.35;64204.55
ACOES ESTRATEGICAS DE PROMOCAO DA SAUDE E REDUCAO DE INIQUIDADES;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;100000;0;0;0;0
MANUTENCAO DA REDE DE ATENCAO PRIMARIA A SAUDE;LOCACAO DE MAO-DE-OBRA                                                                    ;LOCACAO DE MAO-DE-OBRA                                                                    ;941300.06;0;0;0;0
MANUTENCAO DA REDE DE ATENCAO PRIMARIA A SAUDE;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;6054650.15;0;0;0;0
MANUTENCAO DA REDE DE ATENCAO PRIMARIA A SAUDE;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVS.DE REPARO.ADPTACAO.CONSERV.RESTAUR.E INSTAL.DE BENS MOVEIS E IMOV.P/PESSOA JURIDICA ;0;69425.48;49538.48;49538.48;49538.48
MANUTENCAO DA REDE DE ATENCAO PRIMARIA A SAUDE;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVS.DE REPARO. ADAPTACAO. CONSERVACAO. RESTAURACAO E INSTALACAO DE ELEVADORES           ;0;80168.42;50034.42;43424.92;43424.92
EQUIPAMENTOS E INSUMOS PARA O HOSPITAL MUNICIPAL ALBERT SCHWEITZER - EL 3995/19;OBRAS E INSTALACOES                                                                       ;OBRAS E INSTALACOES                                                                       ;0;0;0;0;0
ATENDIMENTO A DEMANDAS JUDICIAIS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERV.ADQUIRIDOS POR DETERMINACAO JUDICIAL REALIZADOS PELO SIST.DESCENTRALIZADO DE PAGAMENT;0;165027.93;165027.93;165027.93;165027.93
ATENCAO DOMICILIAR;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;7953767.87;0;0;0;0
DESPESAS OBRIGATORIAS E OUTROS CUSTEIOS DA ADMINISTRACAO DIRETA - SAUDE PREVENTIVA E EMERG;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;VALE-TRANSPORTE                                                                           ;0;24000;23019.88;23019.88;23052.28
GASTOS COM PESSOAL - OBRIGACOES PATRONAIS E OUTROS BENEFICIOS - SAUDE PREVENTIVA E EMERGEN;OBRIGACOES PATRONAIS                                                                      ;OBRIGACOES PATRONAIS                                                                      ;22600000;0;0;0;0
ACOES DE DESINSTITUCIONALIZACAO EM SAUDE MENTAL;OUTROS AUXILIOS FINANCEIROS A PESSOAS FISICAS                                             ;APOIO FINANCEIRO A POPULACAO                                                              ;0;0;0;0;24470.1
QUALIFICACAO DA ATENCAO ESPECIALIZADA EM SAUDE BUCAL;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;10;0;0;0;0
ATENDIMENTO MOVEL DE URGENCIA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;0;0;0;0;0
ATENDIMENTO MOVEL DE URGENCIA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;22110084.15;0;0;0;0
ATENDIMENTO MOVEL DE URGENCIA;DESPESAS DE EXERCICIOS ANTERIORES                                                         ;DESPESAS DE EXERCICIOS ANTERIORES                                                         ;1020406.94;0;0;0;0
CONTRATACAO DA REDE CREDENCIADA;DESPESAS DE EXERCICIOS ANTERIORES                                                         ;SAUDE PUBLICA - GESTAO PLENA PARA INSTITUICOES ESTADUAIS                                  ;0;6202552.91;6202552.91;6202552.91;6202552.91
ASSISTENCIA FARMACEUTICA;MATERIAL DE CONSUMO                                                                       ;MATERIAIS E PRODUTOS BIOLOGICOS E LABORATORIAIS                                           ;0;0;0;0;12139244.5
ATENCAO A SAUDE ATRAVES DAS LINHAS DE CUIDADOS PARA DOENCAS E AGRAVOS TRANSMISSIVEIS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE GER.. OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A SAUDE. PRESTADOS POR OS       ;0;613245.72;63534.38;63534.38;1025225.73
REFORMA. AMPLIACAO E ADEQUACAO DAS UNIDADES DE VIGILANCIA EM SAUDE;OBRAS E INSTALACOES                                                                       ;OBRAS E INSTALACOES                                                                       ;7000000;0;0;0;0
VIGILANCIA EM SAUDE. PREVENCAO E CONTROLE DE DOENCAS;MATERIAL DE CONSUMO                                                                       ;MATERIAIS DE VESTUARIO.UNIFORMES.FARDAMENTOS. TECIDOS E AVIAMENTOS                        ;0;1865186;0;0;0
VIGILANCIA EM SAUDE. PREVENCAO E CONTROLE DE DOENCAS;MATERIAL DE CONSUMO                                                                       ;MATERIAIS DE PROTECAO E SEGURANCA                                                         ;0;171548.58;124163.54;76738.58;76738.58
VIGILANCIA EM SAUDE. PREVENCAO E CONTROLE DE DOENCAS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERV. DE GER.. OPER.. E EXEC. DE ATIV. DIRIGIDAS A SAUDE. PREST. POR ORG. SOC. - REC. HUM.;0;2625487;2625487;2625487;2625487
MANUTENCAO DA REDE DE ATENCAO PRIMARIA A SAUDE;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE GER.. OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A SAUDE. PRESTADOS POR OS       ;0;500677.02;0;0;8755166.45
MANUTENCAO DA REDE DE ATENCAO PRIMARIA A SAUDE;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERV. DE GER.. OPER.. E EXEC. DE ATIV. DIRIGIDAS A SAUDE. PREST. POR ORG. SOC. - REC. HUM.;0;4738073.96;2717900.03;2717900.03;2717900.03
MANUTENCAO DA REDE DE ATENCAO PRIMARIA A SAUDE;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERV. DE GER.. OPER.. E EXEC. DE ATIV. DIRIGIDAS A SAUDE. PREST. POR ORG. SOC. - REC. HUM.;0;3100046.07;3100046.07;3100046.07;3100046.07
MANUTENCAO DA REDE DE ATENCAO PRIMARIA A SAUDE;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;FORNECIMENTO DE ALIMENTACAO                                                               ;0;224984.28;224984.28;197208.81;197208.81
CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;FORNECIMENTO DE GAS                                                                       ;0;1000;1000;947.19;947.19
CONCESSIONARIAS DE SERVICOS PUBLICOS DE ENERGIA ELETRICA - ADM. DIRETA - SAUDE PREVENTIVA;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE TELEFONIA                                                                     ;0;8381.51;5381.51;5381.51;5381.51
PROVISAO DE GASTOS COM PESSOAL - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL                                                 ;ADIANTAMENTO DE SALARIO                                                                   ;0;833.33;833.33;0;0
MANUTENCAO DA REDE DE APOIO SECUNDARIO A SAUDE;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE LABORATORIO DE ANALISES CLINICAS                                              ;0;112662;0;0;8385.78
ACOES DE INTEGRACAO DA VIGILANCIA EM SAUDE. ATENCAO PRIMARIA E PROMOCAO NOS BAIRROS;MATERIAL DE CONSUMO                                                                       ;MATERIAIS PARA USO MEDICINAL. CIRURGICO E ODONTOLOGICO                                    ;0;21920.1;8528;0;1805
MANUTENCAO DA REDE DE ATENCAO PRIMARIA A SAUDE;LOCACAO DE MAO-DE-OBRA                                                                    ;SERVICOS DE VIGILANCIA E POLICIAMENTO POR PESSOA JURIDICA                                 ;0;0;0;0;38000
MANUTENCAO DA REDE DE ATENCAO PRIMARIA A SAUDE;LOCACAO DE MAO-DE-OBRA                                                                    ;SERVICO DE LIMPEZA E HIGIENIZACAO HOSPITALAR                                              ;0;593618.25;435184.55;429970.83;499996.58
MANUTENCAO DA REDE DE ATENCAO PRIMARIA A SAUDE;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVS.DE REPARO.ADPTACAO.CONSERV.RESTAUR.E INSTAL.DE BENS MOVEIS E IMOV.P/PESSOA JURIDICA ;0;310.76;310.76;310.76;381.77
PROVISAO DE GASTOS COM PESSOAL - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;VENCIMENTOS DE CARGO EFETIVO                                                              ;0;9280721.09;9280721.09;8358861.62;9236638.42
MANUTENCAO DA REDE DE ATENCAO PRIMARIA A SAUDE;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;120448.33;0;0;0;0
CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE LUZ E FORCA MOTRIZ                                                            ;0;0;0;0;60494.02
CONCESSIONARIAS DE SERVICOS PUBLICOS - ADM. DIRETA - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE TELEFONIA                                                                     ;0;6000;2697.07;2406.48;2406.48
PROVISAO DE GASTOS COM PESSOAL - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;ABONO DE PERMANENCIA                                                                      ;0;295210.83;295210.83;268288.12;296718.12
MANUTENCAO DO CUSTEIO DAS UNIDADES DE PRONTO ATENDIMENTO (UPA);OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE GER.. OPERAC. E EXEC. DE ATIVIDADES DIRIGIDAS A SAUDE. PRESTADOS POR OS       ;0;3552726.69;3367715.29;3367715.29;3367715.29
ACOES DE INTEGRACAO DA VIGILANCIA EM SAUDE. ATENCAO PRIMARIA E PROMOCAO NOS BAIRROS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERV. DE GER.. OPER.. E EXEC. DE ATIV. DIRIGIDAS A SAUDE. PREST. POR ORG. SOC. - REC. HUM.;0;1486732.72;892039.78;892039.78;892039.78
MANUTENCAO DA REDE DE ATENCAO PRIMARIA A SAUDE;LOCACAO DE MAO-DE-OBRA                                                                    ;SERVICOS DE VIGILANCIA E POLICIAMENTO POR PESSOA JURIDICA                                 ;0;124374.95;104752.02;101201.1;101201.1
MANUTENCAO DA REDE DE ATENCAO PRIMARIA A SAUDE;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;LOCACAO DE EQUIPAMENTOS COM OPERACAO E INSUMOS                                            ;0;4000;0;0;1279
PROVISAO DE GASTOS COM PESSOAL - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;VENCIMENTOS DE CARGO EFETIVO                                                              ;0;14074116.29;14074116.29;12675103.14;14025581.97
PROVISAO DE GASTOS COM PESSOAL - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;ADICIONAL DE INSALUBRIDADE                                                                ;0;3376347.35;3376347.35;3041440.76;3364678.6
PROVISAO DE GASTOS COM PESSOAL - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;GRATIFICACAO DE DESEMPENHO E PRODUTIVIDADE   (SMS)                                        ;0;102;102;102;102
MANUTENCAO DA REDE DE APOIO SECUNDARIO A SAUDE;LOCACAO DE MAO-DE-OBRA                                                                    ;LOCACAO DE MAO-DE-OBRA                                                                    ;1556707.66;0;0;0;0
MANUTENCAO DA REDE DE APOIO SECUNDARIO A SAUDE;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;DESPESAS MIUDAS DE PRONTO PAGAMENTO E/OU DE CARATER EXTRAORDINARIO OU URGENTE             ;0;61032.84;61032.84;33196.04;33196.04
MANUTENCAO DA REDE DE APOIO SECUNDARIO A SAUDE;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE ASSISTENCIA MEDICA. HOSPITALAR E ODONTOLOGICA                                 ;0;0;0;0;195.51
PROVISAO DE GASTOS COM PESSOAL - ADM. INDIRETA - CAPITAL HUMANO NA FORMACAO DO CARIOCA;OUTRAS DESPESAS VARIAVEIS - PESSOAL CIVIL                                                 ;GRATIF. PELO EXERC. DE ENCARGO DE AUX. OU MEMBRO DE BANCA/COMISSAO EXAMIN. DE CONCURSOS   ;0;1820;1820;560;560
APOIO ADMINISTRATIVO - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;TREINAMENTO DE PESSOAL POR PESSOA JURIDICA                                                ;0;1668;1668;1668;1668
PROTECAO SOCIAL A ADOLESCENTES EM CUMPRIMENTO DE MEDIDAS SOCIOEDUCATIVAS - EL 5991/19;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;0;0;0;0;0
SUBVENCAO SOCIAL A CASA DE APOIO A CRIANCA COM CANCER SANTA TERESA - EL 3861/19;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;0;0;0;0;0
ACAO SOCIAL NO PROAP III;OBRAS E INSTALACOES                                                                       ;OBRAS E INSTALACOES                                                                       ;2100133.58;0;0;0;0
PROVISAO DE GASTOS COM PESSOAL - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;DIREITO PESSOAL                                                                           ;0;5712889.99;5712889.99;5137002.6;5660442.54
PROVISAO DE GASTOS COM PESSOAL - SAUDE PREVENTIVA E EMERGENCIA SOCIAL;VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL                                             ;GRATIFICACAO DE EXECUCAO TECNICA                                                          ;0;122881.44;122881.44;113202.05;131116.76
ATIVIDADES DO CONSELHO DE SEGURANCA ALIMENTAR DO MUNICIPIO DO RIO DE JANEIRO - CONSEA - RI;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;7912;0;0;0;0
TRANSFERENCIA DE RENDA NO MUNICIPIO DO RIO DE JANEIRO;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS BANCARIOS                                                                        ;0;2730193.11;2730193.11;2376324.72;3093099.44
PROMOCAO DOS DIREITOS HUMANOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE GER.. OPERAC. E EXEC. DE ATIV. DIRIGIDAS A ASSIST. SOCIAL. PRESTADOS POR OSC  ;0;4004163.22;3899537.98;3899537.98;3899537.98
PROMOCAO DOS DIREITOS HUMANOS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;VALE-TRANSPORTE                                                                           ;0;19000;19000;19000;19000
ATIVIDADES DO CONSELHO MUNICIPAL DE DIREITOS DA CRIANCA E DO ADOLESCENTE;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS GRAFICOS EM GERAL POR PESSOA JURIDICA                                            ;0;7912;0;0;1033.67
POLITICAS DE PROTECAO INTEGRAL PARA CRIANCAS E ADOLESCENTES;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;FORNECIMENTO DE ALIMENTACAO                                                               ;0;1686;0;0;0
GESTAO DESCENTRALIZADA DO CADASTRO UNICO PARA PROGRAMAS SOCIAIS;OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA                                            ;SERVICOS DE GER.. OPERAC. E EXEC. DE ATIV. DIRIGIDAS A ASSIST. SOCIAL. PRESTADOS POR OSC  ;0;8052969.1;6286354.72;5716354.72;5716354.72
